timestamp,value,timeseries_id,station_name,pollutant_name,pollutant_std,latitude,longitude
2024-08-01 00:00:00,8.797,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 01:00:00,8.797,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 02:00:00,8.797,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 03:00:00,9.754,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 04:00:00,13.77,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 05:00:00,17.021,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 06:00:00,21.994,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 07:00:00,26.775,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 08:00:00,23.906,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 09:00:00,19.89,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 10:00:00,14.535,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 11:00:00,12.623,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 12:00:00,7.841,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 13:00:00,7.268,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 14:00:00,7.459,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 15:00:00,7.459,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 16:00:00,7.459,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 17:00:00,21.802,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 18:00:00,26.392,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 19:00:00,27.922,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 20:00:00,15.109,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 21:00:00,21.611,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 22:00:00,20.655,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-01 23:00:00,30.6,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-02 00:00:00,8.989,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-02 01:00:00,18.36,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-02 02:00:00,19.125,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-02 03:00:00,30.791,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-02 04:00:00,28.879,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
2024-08-02 05:00:00,17.021,67,London Bexley,Nitrogen oxides,NOx,51.46603,0.1848059999939051
