target,category,pollutant,test_r2,test_rmse,test_mae,epochs
Borehamwood_Meadow_Park_NO,Nitrogen,NO,0.43762316956274994,0.01101825190527348,0.005265869700831231,37
Borehamwood_Meadow_Park_NO2,NO2,NO2,0.8083460283635917,0.042653101737599265,0.027572885151134853,48
Borehamwood_Meadow_Park_NOx,Nitrogen,NOx,0.5501483863749282,0.02060400353174604,0.014179637407033215,31
Borehamwood_Meadow_Park_PM10,PM10,PM10,0.7650820954989935,0.02131712773898874,0.016103904538757867,32
Borehamwood_Meadow_Park_PM25,PM25,PM25,0.7355943455545475,0.018737887593508664,0.013520897053237575,27
Camden_Kerbside_NO,Nitrogen,NO,0.6070097690489799,0.014497212724168462,0.009968343758381648,41
Camden_Kerbside_NO2,NO2,NO2,0.6240043040786327,0.06054819319756746,0.04682004295319723,34
Camden_Kerbside_NOx,Nitrogen,NOx,0.6337687008034525,0.019622673904450435,0.014766975100657026,37
Haringey_Roadside_NO,Nitrogen,NO,0.4864464289716789,0.011039262771222228,0.007130423884921407,23
Haringey_Roadside_NO2,NO2,NO2,0.7544112417558341,0.03447409460065283,0.025392533879367896,28
Haringey_Roadside_NOx,Nitrogen,NOx,0.4861126488728347,0.01911050330710232,0.012365675319376056,25
London_Bexley_NO,Nitrogen,NO,0.21723066751958953,0.023478006541134938,0.007829863102913927,47
London_Bexley_NO2,NO2,NO2,0.7386517904862447,0.04073426740095432,0.03080612660355723,32
London_Bexley_NOx,Nitrogen,NOx,0.5569843112496886,0.023149382833538467,0.010449491536665167,41
London_Bexley_PM10,PM10,PM10,0.7281213896479929,0.022513374590141626,0.013430235255216437,30
London_Bloomsbury_NO,Nitrogen,NO,0.5326407863968055,0.007480365431505282,0.004314744278382504,37
London_Bloomsbury_NO2,NO2,NO2,0.773479404893139,0.044168512495740546,0.033161149191803664,26
London_Bloomsbury_NOx,Nitrogen,NOx,0.6772709736114813,0.0136825299229573,0.010122725394718802,41
London_Bloomsbury_O3,O3,O3,0.8541513111649778,0.04238751853190624,0.031202085732644352,28
London_Bloomsbury_PM10,PM10,PM10,0.6531621141220106,0.018341752300497838,0.01171721379931064,39
London_Bloomsbury_PM25,PM25,PM25,0.8235149648043675,0.02031431064295976,0.013842049972888106,31
London_Bloomsbury_SO2,SO2,SO2,-0.3361802703158552,0.01746119222954396,0.014486612186643578,20
London_Haringey_Priory_Park_South_NO,Nitrogen,NO,0.25220438919656607,0.007611397630455497,0.0030801989660009057,39
London_Haringey_Priory_Park_South_NO2,NO2,NO2,0.826805777888413,0.03244335056703701,0.02397010103027152,42
London_Haringey_Priory_Park_South_NOx,Nitrogen,NOx,0.6542120841174885,0.011115326133286696,0.008409974196477751,43
London_Haringey_Priory_Park_South_O3,O3,O3,0.8936254696047065,0.03476032166953283,0.02588631925909907,47
London_Harlington_NO,Nitrogen,NO,0.635442632654843,0.015425720251804435,0.009587500521449775,50
London_Harlington_NO2,NO2,NO2,0.7429576464118777,0.039425769271854656,0.028559328257085327,28
London_Harlington_NOx,Nitrogen,NOx,0.6566693255964569,0.02234956132047067,0.01706671260836876,33
London_Harlington_O3,O3,O3,0.8687692049509167,0.04588724657019901,0.03449427616585493,33
London_Harlington_PM10,PM10,PM10,-0.12947312499576014,0.007047531054002454,0.00553390280262327,14
London_Harlington_PM25,PM25,PM25,0.7924822775229634,0.012590712100268265,0.008672809706973051,47
London_Hillingdon_NO,Nitrogen,NO,0.7029732959973023,0.014511170355609634,0.00956310496730398,34
London_Hillingdon_NO2,NO2,NO2,0.7937278270482986,0.04184148037504509,0.03015602981557237,33
London_Hillingdon_NOx,Nitrogen,NOx,0.7613303872527674,0.020542967812140715,0.014340145169902856,28
London_Hillingdon_O3,O3,O3,0.8705112270856221,0.04636885827297872,0.03588720859454411,41
London_Hillingdon_PM10,PM10,PM10,0.43376295789556485,0.03829241694152374,0.016459912937747574,45
London_Hillingdon_PM25,PM25,PM25,0.42971046609399666,0.04617749945138789,0.019960495271706017,21
London_Honor_Oak_Park_O3,O3,O3,0.7256389261599037,0.09599817019416437,0.07246186872374405,26
London_Honor_Oak_Park_PM10,PM10,PM10,0.7997297558404061,0.017221554962371214,0.012103900507050557,37
London_Honor_Oak_Park_PM25,PM25,PM25,0.8439211093919311,0.015357918098173029,0.01082586340013256,50
London_Marylebone_Road_1_2_3_TMB,Unknown,TMB,0.0,2.7748587854148354e-06,2.7748587854148354e-06,16
London_Marylebone_Road_1_2_4_TMB,Unknown,TMB,-0.0017380242176951999,0.0052340496628939595,0.0011000573769484648,22
London_Marylebone_Road_1_3_5_TMB,Unknown,TMB,-0.04235888061983051,0.005132793708497511,0.0028955168006200263,12
London_Marylebone_Road_1_3_Butadiene,Unknown,Butadiene,-1.2840853822728628,0.014183684580359283,0.011440146800139628,13
London_Marylebone_Road_1_Butene,Unknown,Butene,-0.05242472565480716,0.014183592137854115,0.008409703085112902,12
London_Marylebone_Road_1_Pentene,Unknown,Pentene,-0.37791528230712323,0.0016403163490784703,0.0012343756462331978,15
London_Marylebone_Road_Benzene,Aromatic_VOC,Benzene,-0.09636139577898573,0.006773866924442898,0.005515774426435445,16
London_Marylebone_Road_CO,CO,CO,0.8435657679153508,0.02606674354252422,0.01917154362798527,37
London_Marylebone_Road_Ethane,Alkane,Ethane,0.5528167286786736,0.017725445104047714,0.011353252925302796,38
London_Marylebone_Road_Ethene,Alkene,Ethene,0.12464357189436437,0.004840624412531765,0.0034172370542674105,35
London_Marylebone_Road_Ethylbenzene,Aromatic_VOC,Ethylbenzene,0.030471631226045792,0.028619898324976883,0.008405736723821727,44
London_Marylebone_Road_Ethyne,Other_VOC,Ethyne,0.196347318285232,0.037426841674641664,0.02166859484625509,27
London_Marylebone_Road_Isoprene,Alkene,Isoprene,0.620299646138039,0.09394655304263136,0.05608304810307247,42
London_Marylebone_Road_NO,Nitrogen,NO,0.6356291188164345,0.02773366004456485,0.01732979040889861,39
London_Marylebone_Road_NO2,NO2,NO2,0.7275450561122856,0.043104423524354826,0.03085241570236704,25
London_Marylebone_Road_NOx,Nitrogen,NOx,0.7270060471706659,0.02644274929286576,0.018620399528515148,30
London_Marylebone_Road_O3,O3,O3,0.7823878297972656,0.05301098136415418,0.04012832816001142,24
London_Marylebone_Road_Propane,Alkane,Propane,-0.2454056395414299,0.009091332838296601,0.006525931871789421,21
London_Marylebone_Road_Propene,Alkene,Propene,0.7002037521684563,0.05498508494434419,0.03384765128298836,49
