target,category,pollutant,test_r2,test_rmse,test_mae,epochs
London_Marylebone_Road_Toluene,Aromatic_VOC,Toluene,-0.001451813639659072,0.027387805253135535,0.005705842994867727,14
London_Marylebone_Road_cis_2_Butene,Unknown,Butene,-0.002654807212018495,0.02598195802664919,0.017733448108247684,13
London_Marylebone_Road_i_Butane,Unknown,Butane,0.1370375770544583,0.022379669910144617,0.012037838078845545,22
London_Marylebone_Road_i_Hexane,Unknown,Hexane,0.002618684095214374,0.006665008144847936,0.0035440187481579695,11
London_Marylebone_Road_i_Octane,Unknown,Octane,-0.01483494455570833,0.031757678909250714,0.008918750958208115,16
London_Marylebone_Road_i_Pentane,Unknown,Pentane,0.02939946824426909,0.04792518404257761,0.025067478726335184,12
London_Marylebone_Road_m_p_Xylene,Unknown,Xylene,0.027777146792695495,0.027578787504972363,0.00937739832186062,50
London_Marylebone_Road_n_Butane,Unknown,Butane,-0.032877171537916805,0.0027983994400379263,0.0016930058644327474,16
London_Marylebone_Road_n_Heptane,Unknown,Heptane,-1.6429765667513863e-05,0.020916921197912462,0.007965355973594811,18
London_Marylebone_Road_n_Hexane,Unknown,Hexane,-0.0015595678425086579,0.004921868352299087,0.0016371806322509504,15
London_Marylebone_Road_n_Octane,Unknown,Octane,0.16029401284171785,0.044782646237548386,0.02159433885054954,23
London_Marylebone_Road_n_Pentane,Unknown,Pentane,0.23765059174044478,0.045116608187040025,0.019306807726293163,50
London_Marylebone_Road_o_Xylene,Unknown,Xylene,-0.002963247371202238,0.011205121665559958,0.00464676402064584,14
London_Marylebone_Road_trans_2_Butene,Unknown,Butene,-0.02588338986551686,0.02341989849098945,0.01646799764699358,29
London_Marylebone_Road_trans_2_Pentene,Unknown,Pentene,-0.05742082854064945,0.052725467774225744,0.025406749125063514,13
London_N._Kensington_CO,CO,CO,0.7270496837322639,0.01833321027073769,0.012578271523501088,30
London_N._Kensington_NO,Nitrogen,NO,0.07311165218650195,0.011163961806262472,0.004111718233391489,32
London_N._Kensington_NO2,NO2,NO2,0.6763044338605355,0.048125155175812805,0.03909022336736475,20
London_N._Kensington_NOx,Nitrogen,NOx,0.6749118915553003,0.011382061142355251,0.008571913463850837,35
