timestamp,value,timeseries_id,station_name,pollutant_name,pollutant_std
2024-09-01 00:00:00,10.646,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 01:00:00,12.113,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 02:00:00,9.61,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 03:00:00,9.371,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 04:00:00,9.945,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 05:00:00,13.674,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 06:00:00,13.053,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 07:00:00,11.571,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 08:00:00,10.375,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 09:00:00,11.571,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 10:00:00,10.614,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 11:00:00,11.236,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 12:00:00,11.332,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 13:00:00,11.571,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 14:00:00,11.857,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 15:00:00,12.144,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 16:00:00,11.905,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 17:00:00,16.065,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 18:00:00,24.241,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 19:00:00,28.735,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 20:00:00,26.966,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 21:00:00,31.891,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 22:00:00,32.273,259,London Harlington,Nitrogen dioxide,NO2
2024-09-01 23:00:00,28.64,259,London Harlington,Nitrogen dioxide,NO2
2024-09-02 00:00:00,20.91,259,London Harlington,Nitrogen dioxide,NO2
2024-09-02 01:00:00,11.602,259,London Harlington,Nitrogen dioxide,NO2
2024-09-02 02:00:00,9.467,259,London Harlington,Nitrogen dioxide,NO2
2024-09-02 03:00:00,10.519,259,London Harlington,Nitrogen dioxide,NO2
2024-09-02 04:00:00,11.953,259,London Harlington,Nitrogen dioxide,NO2
2024-09-02 05:00:00,15.3,259,London Harlington,Nitrogen dioxide,NO2
2024-09-02 06:00:00,30.313,259,London Harlington,Nitrogen dioxide,NO2
2024-09-02 07:00:00,31.03,259,London Harlington,Nitrogen dioxide,NO2
